Sl No.,Geocode,Division,District,Upazila,No of Arsenic patient,Population in 2009,CC,Arsenic Contamination ratio %,SWD coverage ration%
6,2750724,Chittagong ,Noakhali ,Begumganj ,111,185757,121287,82.78,99.31
7,2750742,Chittagong ,Noakhali ,Begumganj ,111,185757,121287,85.05,80.17
18,2750756,Chittagong ,Noakhali ,Begumganj ,111,185757,121287,90.64,75.29
23,2750728,Chittagong ,Noakhali ,Begumganj ,111,185757,121287,73.57,79.33
109,2750700,Chittagong ,Noakhali ,Begumganj ,111,185757,121287,82.78,0.29
19,2751009,Chittagong ,Noakhali ,Chatkhil ,400,212729,1350,85.98,63.65
20,2751057,Chittagong ,Noakhali ,Chatkhil ,400,212729,1350,87.31,60.4
24,2751085,Chittagong ,Noakhali ,Chatkhil ,400,212729,1350,62.09,78.43
25,2751028,Chittagong ,Noakhali ,Chatkhil ,400,212729,1350,53.8,52.84
26,2751019,Chittagong ,Noakhali ,Chatkhil ,400,212729,1350,73.06,29.23
26,2751047,Chittagong ,Noakhali ,Chatkhil ,400,212729,1350,52.56,54.96
27,2751066,Chittagong ,Noakhali ,Chatkhil ,400,212729,1350,53.97,57.84
30,2751050,Chittagong ,Noakhali ,Chatkhil ,400,212729,1350,67.59,55.81
64,2751038,Chittagong ,Noakhali ,Chatkhil ,400,212729,1350,89.4,38.95
22,2752147,Chittagong ,Noakhali ,Companiganj ,20,144332,4352,24.91,67.92
25,2752100,Chittagong ,Noakhali ,Companiganj ,20,144332,4352,32.88,58.34
26,2752135,Chittagong ,Noakhali ,Companiganj ,20,144332,4352,29.47,52.52
27,2752123,Chittagong ,Noakhali ,Companiganj ,20,144332,4352,11.61,58.74
28,2752183,Chittagong ,Noakhali ,Companiganj ,20,144332,4352,58.25,40.54
27,2753628,Chittagong ,Noakhali ,Hatiya ,7,102380,806,2,78.62
28,2753676,Chittagong ,Noakhali ,Hatiya ,7,102380,806,1.2,54.97
8,2759096,Chittagong ,Noakhali ,Kabirhat ,4,214507,3940,48.08,80.62
13,2759066,Chittagong ,Noakhali ,Kabirhat ,4,214507,3940,30.96,0
15,2759010,Chittagong ,Noakhali ,Kabirhat ,4,214507,3940,53.97,24.83
24,2759055,Chittagong ,Noakhali ,Kabirhat ,4,214507,3940,30.96,79.68
27,2759097,Chittagong ,Noakhali ,Kabirhat ,4,214507,3940,31.29,51.03
30,2759027,Chittagong ,Noakhali ,Kabirhat ,4,214507,3940,48.08,52.1
112,2759070,Chittagong ,Noakhali ,Kabirhat ,4,214507,3940,83.21,14.41
11,2759095,Chittagong ,Noakhali ,Kabirhat ,4,214507,3940,31.29,27.56
16,2758740,Chittagong ,Noakhali ,Noakhali Sadar ,6,246703,29838,25.75,89.17
23,2758780,Chittagong ,Noakhali ,Noakhali Sadar ,6,246703,29838,27.29,74.9
29,2758705,Chittagong ,Noakhali ,Noakhali Sadar ,6,246703,29838,54.85,59.71
34,2758700,Chittagong ,Noakhali ,Noakhali Sadar ,6,246703,29838,60,0.31
12,2758019,Chittagong ,Noakhali ,Senbagh ,348,262929,1322,52.76,35.13
13,2758076,Chittagong ,Noakhali ,Senbagh ,348,262929,1322,57.86,29.98
14,2758085,Chittagong ,Noakhali ,Senbagh ,348,262929,1322,56.27,33.11
25,2758009,Chittagong ,Noakhali ,Senbagh ,348,262929,1322,77.39,61.68
27,2758057,Chittagong ,Noakhali ,Senbagh ,348,262929,1322,71.66,34.96
65,2758028,Chittagong ,Noakhali ,Senbagh ,348,262929,1322,92.47,20.68
66,2758038,Chittagong ,Noakhali ,Senbagh ,348,262929,1322,81.36,35.43
67,2758047,Chittagong ,Noakhali ,Senbagh ,348,262929,1322,81.39,27.03
21,2758810,Chittagong ,Noakhali ,Sonaimuri ,131,181108,2292,94.78,68.34
22,2758859,Chittagong ,Noakhali ,Sonaimuri ,131,181108,2292,93.83,62.16
23,2758894,Chittagong ,Noakhali ,Sonaimuri ,131,181108,2292,86.5,70.16
68,2758877,Chittagong ,Noakhali ,Sonaimuri ,131,181108,2292,91.4,33.7
69,2758891,Chittagong ,Noakhali ,Sonaimuri ,131,181108,2292,94.35,38.52
110,2758800,Chittagong ,Noakhali ,Sonaimuri ,131,181108,2292,94,1.17
111,2758817,Chittagong ,Noakhali ,Sonaimuri ,131,181108,2292,94.57,15.37
23,2758927,Chittagong ,Noakhali ,Subarna Char ,0,120256,2202,7.43,92.79
24,2758930,Chittagong ,Noakhali ,Subarna Char ,0,120256,2202,3.78,84.82
28,2758935,Chittagong ,Noakhali ,Subarna Char ,0,120256,2202,3.86,61.5
